Season,Team,Top100SalaryPlayers
2018,BOS,6
2018,SJS,6
2018,WPG,6
2018,CHI,5
2018,EDM,5
2018,WAS,5
2018,ANA,4
2018,COL,4
2018,FLA,4
2018,LAK,4
2018,NSH,4
2018,PIT,4
2018,BUF,3
2018,CBJ,3
2018,CGY,3
2018,DAL,3
2018,MIN,3
2018,PHI,3
2018,STL,3
2018,TOR,3
2018,ARI,2
2018,DET,2
2018,MTL,2
2018,NJD,2
2018,NYI,2
2018,NYR,2
2018,TBL,2
2018,VGK,2
2018,CAR,1
2018,OTT,1
2018,VAN,1
2019,SJS,6
2019,BOS,5
2019,NSH,5
2019,PHI,5
2019,TBL,5
2019,WPG,5
2019,WAS,5
2019,ARI,4
2019,ANA,4
2019,CGY,4
2019,DAL,4
2019,MIN,4
2019,PIT,4
2019,TOR,4
2019,VGK,4
2019,BUF,3
2019,CHI,3
2019,COL,3
2019,FLA,3
2019,NYR,3
2019,STL,2
2019,DET,2
2019,EDM,2
2019,LAK,2
2019,MTL,2
2019,NJD,2
2019,CAR,1
2019,CBJ,1
2019,NYI,1
2019,OTT,1
2020,TBL,6
2020,BOS,5
2020,PHI,5
2020,SJS,5
2020,STL,5
2020,WPG,5
2020,ANA,4
2020,CGY,4
2020,CHI,4
2020,DAL,4
2020,MIN,4
2020,NSH,4
2020,TOR,4
2020,VGK,4
2020,WAS,4
2020,ARI,3
2020,BUF,3
2020,COL,3
2020,FLA,3
2020,NYR,3
2020,OTT,3
2020,PIT,3
2020,EDM,2
2020,LAK,2
2020,MTL,2
2020,NJD,2
2020,NYI,2
2020,CAR,1
2020,CBJ,1
2021,TBL,7
2021,COL,5
2021,DAL,5
2021,STL,5
2021,TOR,5
2021,FLA,4
2021,MTL,4
2021,PHI,4
2021,SJS,4
2021,VGK,4
2021,WAS,4
2021,ARI,3
2021,CGY,3
2021,CHI,3
2021,MIN,3
2021,NJD,3
2021,NSH,3
2021,NYR,3
2021,OTT,3
2021,PIT,3
2021,VAN,3
2021,WPG,3
2021,ANA,2
2021,BOS,2
2021,BUF,2
2021,CAR,2
2021,CBJ,2
2021,EDM,2
2021,LAK,2
2021,NYI,2
2022,NYR,6
2022,TBL,6
2022,TOR,6
2022,FLA,5
2022,NSH,5
2022,CAR,4
2022,COL,4
2022,DAL,4
2022,MTL,4
2022,PHI,4
2022,SJS,4
2022,VAN,4
2022,WAS,4
2022,ARI,3
2022,BOS,3
2022,CBJ,3
2022,EDM,3
2022,LAK,3
2022,MIN,3
2022,NJD,3
2022,OTT,3
2022,STL,3
2022,VGK,3
2022,BUF,2
2022,CHI,2
2022,NYI,2
2022,WPG,2
2022,CGY,1
2022,PIT,1
2023,TBL,7
2023,CAR,5
2023,DAL,5
2023,NJD,5
2023,TOR,5
2023,COL,4
2023,FLA,4
2023,LAK,4
2023,NYR,4
2023,OTT,4
2023,VGK,4
2023,ARI,3
2023,BUF,3
2023,CBJ,3
2023,EDM,3
2023,MIN,3
2023,MTL,3
2023,NSH,3
2023,NYI,3
2023,STL,3
2023,VAN,3
2023,WAS,3
2023,BOS,2
2023,CGY,2
2023,DET,2
2023,PHI,2
2023,PIT,2
2023,SJS,2
2023,ANA,1
2023,CHI,1
2023,SEA,1
2023,WPG,1
