Season,Tm,UniquePlayerCount
2018,ANA,5
2018,ARI,5
2018,BOS,5
2018,BUF,5
2018,CAR,5
2018,CBJ,5
2018,CGY,5
2018,CHI,5
2018,COL,5
2018,DAL,5
2018,DET,5
2018,EDM,5
2018,FLA,5
2018,LAK,5
2018,MIN,5
2018,MTL,5
2018,NJD,5
2018,NSH,5
2018,NYI,5
2018,NYR,5
2018,OTT,5
2018,PHI,5
2018,PIT,5
2018,SJS,5
2018,STL,5
2018,TBL,5
2018,TOR,5
2018,TOT,5
2018,Tm,1
2018,VAN,5
2018,VEG,5
2018,WPG,5
2018,WSH,5
2019,ANA,2
2019,ARI,3
2019,BOS,1
2019,BUF,2
2019,CAR,2
2019,CBJ,1
2019,CGY,2
2019,CHI,2
2019,COL,1
2019,DAL,1
2019,DET,1
2019,EDM,2
2019,FLA,2
2019,LAK,2
2019,MIN,2
2019,MTL,3
2019,NJD,3
2019,NSH,2
2019,NYI,2
2019,NYR,3
2019,OTT,2
2019,PHI,1
2019,SJS,1
2019,STL,3
2019,TOR,3
2019,TOT,4
2019,VAN,3
2019,VEG,3
2019,WSH,2
2020,ANA,1
2020,ARI,3
2020,BOS,1
2020,BUF,3
2020,CAR,1
2020,CBJ,2
2020,CGY,1
2020,CHI,1
2020,COL,2
2020,DAL,2
2020,DET,1
2020,EDM,1
2020,FLA,1
2020,LAK,1
2020,MIN,3
2020,MTL,2
2020,NJD,1
2020,NSH,1
2020,NYR,1
2020,OTT,4
2020,PHI,1
2020,PIT,1
2020,SJS,1
2020,STL,1
2020,TBL,2
2020,TOR,1
2020,TOT,5
2020,VAN,2
2020,VEG,2
2020,WSH,1
2021,ANA,2
2021,ARI,2
2021,BOS,2
2021,BUF,3
2021,CAR,2
2021,CBJ,3
2021,CGY,1
2021,CHI,2
2021,COL,1
2021,DAL,2
2021,DET,3
2021,EDM,2
2021,FLA,3
2021,LAK,1
2021,MIN,3
2021,MTL,4
2021,NJD,3
2021,NSH,2
2021,NYI,1
2021,OTT,3
2021,PHI,1
2021,PIT,2
2021,STL,2
2021,TOT,5
2021,VAN,1
2021,WPG,1
2022,ANA,2
2022,ARI,3
2022,BOS,1
2022,BUF,2
2022,CBJ,1
2022,CHI,1
2022,COL,1
2022,DET,2
2022,EDM,3
2022,FLA,3
2022,LAK,2
2022,MIN,1
2022,MTL,4
2022,NJD,1
2022,NSH,3
2022,NYI,1
2022,NYR,1
2022,OTT,1
2022,PHI,1
2022,PIT,1
2022,SEA,5
2022,SJS,2
2022,STL,2
2022,TBL,1
2022,TOR,1
2022,TOT,4
2022,VAN,1
2022,VEG,2
2022,WPG,2
2022,WSH,2
2023,ANA,2
2023,ARI,1
2023,BOS,1
2023,BUF,2
2023,CAR,2
2023,CBJ,3
2023,CGY,2
2023,CHI,3
2023,COL,1
2023,DAL,1
2023,DET,3
2023,FLA,2
2023,LAK,2
2023,MIN,2
2023,MTL,1
2023,NJD,1
2023,NSH,2
2023,NYI,1
2023,NYR,2
2023,OTT,2
2023,PHI,3
2023,PIT,2
2023,SEA,3
2023,SJS,2
2023,STL,2
2023,TBL,1
2023,TOT,4
2023,VAN,1
2023,VEG,1
2023,WPG,1
2023,WSH,2
